Comment,Designator,Footprint,LCSC
TCA9548APWR,"U1,U14,U23,U32",TSSOP-24_4.4x7.8mm_P0.65mm,C130026
0.1uF,"C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72",C_0201_0603Metric,C14663
2.2k,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R7,R8,R9",R_01005_0402Metric,C25879
Conn_01x10,J5,PinHeader_1x10_P2.54mm_Horizontal,C86750
10uF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C96446
Tube Connector,J2,tube_connector,
Brass Manifold,J3,static_pressure_manifold,
End_plate_mount,J4,end_plate_connector,
HSCDRRN400MD2A3,U36,hscdrrn400md2a3,
HSCDRRN400MD2A3,U35,hscdrrn400md2a3,
HSCDRRN400MD2A3,U34,hscdrrn400md2a3,
HSCDRRN400MD2A3,U33,hscdrrn400md2a3,
HSCDRRN400MD2A3,U31,hscdrrn400md2a3,
HSCDRRN400MD2A3,U30,hscdrrn400md2a3,
HSCDRRN400MD2A3,U29,hscdrrn400md2a3,
HSCDRRN400MD2A3,U28,hscdrrn400md2a3,
HSCDRRN400MD2A3,U27,hscdrrn400md2a3,
HSCDRRN400MD2A3,U26,hscdrrn400md2a3,
HSCDRRN400MD2A3,U25,hscdrrn400md2a3,
HSCDRRN400MD2A3,U24,hscdrrn400md2a3,
HSCDRRN400MD2A3,U22,hscdrrn400md2a3,
HSCDRRN400MD2A3,U21,hscdrrn400md2a3,
HSCDRRN400MD2A3,U20,hscdrrn400md2a3,
HSCDRRN400MD2A3,U19,hscdrrn400md2a3,
HSCDRRN400MD2A3,U18,hscdrrn400md2a3,
HSCDRRN400MD2A3,U17,hscdrrn400md2a3,
HSCDRRN400MD2A3,U16,hscdrrn400md2a3,
HSCDRRN400MD2A3,U15,hscdrrn400md2a3,
HSCDRRN400MD2A3,U13,hscdrrn400md2a3,
HSCDRRN400MD2A3,U12,hscdrrn400md2a3,
HSCDRRN400MD2A3,U11,hscdrrn400md2a3,
HSCDRRN400MD2A3,U10,hscdrrn400md2a3,
HSCDRRN400MD2A3,U9,hscdrrn400md2a3,
HSCDRRN400MD2A3,U8,hscdrrn400md2a3,
HSCDRRN400MD2A3,U7,hscdrrn400md2a3,
HSCDRRN400MD2A3,U6,hscdrrn400md2a3,
HSCDRRN400MD2A3,U5,hscdrrn400md2a3,
HSCDRRN400MD2A3,U4,hscdrrn400md2a3,
HSCDRRN400MD2A3,U3,hscdrrn400md2a3,
HSCDRRN400MD2A3,U2,hscdrrn400md2a3,
SolderJumper_2_Open,JP70,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP69,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP68,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP67,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP66,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP65,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP64,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP63,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP62,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP61,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP60,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP59,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP58,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP57,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP56,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP55,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP54,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP53,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP52,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP51,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP50,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP49,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP48,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP47,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP46,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP45,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP44,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP43,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP42,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP41,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP40,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP39,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP38,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP37,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP36,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP35,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP34,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP33,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP32,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP31,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP30,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP29,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP28,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP27,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP26,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP25,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP24,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP23,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP22,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP21,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP20,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP19,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP18,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP17,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP16,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP15,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP14,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP13,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP12,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP11,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP9,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP8,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP7,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP6,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
SolderJumper_2_Open,JP5,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
