Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0201_0603Metric,71.973,-170.1038,0.0,top
C10,10uF,C_0201_0603Metric,67.5386,-144.998,-90.0,top
C11,10uF,C_0201_0603Metric,50.419,-144.998,-90.0,top
C12,10uF,C_0201_0603Metric,32.5628,-145.0086,-90.0,top
C13,10uF,C_0201_0603Metric,33.7566,-122.1634,-90.0,top
C14,10uF,C_0201_0603Metric,49.8908,-122.1994,-90.0,top
C15,10uF,C_0201_0603Metric,67.5894,-122.1634,-90.0,top
C16,10uF,C_0201_0603Metric,84.8868,-122.149,-90.0,top
C17,10uF,C_0201_0603Metric,24.7702,-133.6248,-90.0,top
C18,10uF,C_0201_0603Metric,41.9914,-133.4008,-90.0,top
C19,10uF,C_0201_0603Metric,59.4412,-133.5892,-90.0,top
C2,10uF,C_0201_0603Metric,63.6016,-113.2184,90.0,top
C20,10uF,C_0201_0603Metric,76.7334,-133.7666,-90.0,top
C21,10uF,C_0201_0603Metric,24.638,-73.9754,-90.0,top
C22,10uF,C_0201_0603Metric,42.1132,-74.0918,-90.0,top
C23,10uF,C_0201_0603Metric,60.53,-74.2294,-90.0,top
C24,10uF,C_0201_0603Metric,77.089,-74.0308,-90.0,top
C25,10uF,C_0201_0603Metric,84.455,-63.3938,-90.0,top
C26,10uF,C_0201_0603Metric,67.6148,-63.3624,-90.0,top
C27,10uF,C_0201_0603Metric,49.7078,-63.409,-90.0,top
C28,10uF,C_0201_0603Metric,32.512,-63.3074,-90.0,top
C29,10uF,C_0201_0603Metric,72.8726,-52.2372,-90.0,top
C3,10uF,C_0201_0603Metric,64.8208,-86.451,-90.0,top
C30,10uF,C_0201_0603Metric,56.7182,-52.2626,-90.0,top
C31,10uF,C_0201_0603Metric,40.9194,-52.2224,-90.0,top
C32,10uF,C_0201_0603Metric,24.9428,-52.2838,-90.0,top
C33,10uF,C_0201_0603Metric,80.5434,-41.3512,-90.0,top
C34,10uF,C_0201_0603Metric,64.7954,-41.2602,-90.0,top
C35,10uF,C_0201_0603Metric,48.5902,-41.2856,-90.0,top
C36,10uF,C_0201_0603Metric,31.9278,-41.2856,-90.0,top
C37,0.1uF,C_0201_0603Metric,75.8444,-156.809,-90.0,top
C38,0.1uF,C_0201_0603Metric,58.5724,-156.6672,-90.0,top
C39,0.1uF,C_0201_0603Metric,41.1226,-156.5046,-90.0,top
C4,10uF,C_0201_0603Metric,94.8944,-52.1208,-90.0,top
C40,0.1uF,C_0201_0603Metric,24.0792,-156.4742,-90.0,top
C41,0.1uF,C_0201_0603Metric,85.8774,-144.9938,-90.0,top
C42,0.1uF,C_0201_0603Metric,68.5546,-144.9984,-90.0,top
C43,0.1uF,C_0201_0603Metric,51.3588,-144.9726,-90.0,top
C44,0.1uF,C_0201_0603Metric,33.4772,-144.998,-90.0,top
C45,0.1uF,C_0201_0603Metric,32.8906,-122.17365,-90.0,top
C46,0.1uF,C_0201_0603Metric,50.7746,-122.1888,-90.0,top
C47,0.1uF,C_0201_0603Metric,68.4478,-122.1676,-90.0,top
C48,0.1uF,C_0201_0603Metric,85.725,-122.1638,-90.0,top
C49,0.1uF,C_0201_0603Metric,23.9268,-133.6396,-90.0,top
C5,10uF,C_0201_0603Metric,76.835,-156.809,-90.0,top
C50,0.1uF,C_0201_0603Metric,41.148,-133.4156,-90.0,top
C51,0.1uF,C_0201_0603Metric,58.5978,-133.604,-90.0,top
C52,0.1uF,C_0201_0603Metric,75.89,-133.7814,-90.0,top
C53,0.1uF,C_0201_0603Metric,23.749,-74.0812,-90.0,top
C54,0.1uF,C_0201_0603Metric,41.2706,-74.0664,-90.0,top
C55,0.1uF,C_0201_0603Metric,59.4868,-74.204,-90.0,top
C56,0.1uF,C_0201_0603Metric,76.0222,-74.0612,-90.0,top
C57,0.1uF,C_0201_0603Metric,85.4202,-63.3984,-90.0,top
C58,0.1uF,C_0201_0603Metric,68.5038,-63.373,-90.0,top
C59,0.1uF,C_0201_0603Metric,50.5968,-63.409,-90.0,top
C6,10uF,C_0201_0603Metric,59.3852,-156.6418,-90.0,top
C60,0.1uF,C_0201_0603Metric,33.4186,-63.3116,-90.0,top
C61,0.1uF,C_0201_0603Metric,72.0344,-52.2372,-90.0,top
C62,0.1uF,C_0201_0603Metric,55.9054,-52.2626,-90.0,top
C63,0.1uF,C_0201_0603Metric,39.9542,-52.2478,-90.0,top
C64,0.1uF,C_0201_0603Metric,24.0284,-52.3138,-90.0,top
C65,0.1uF,C_0201_0603Metric,81.6864,-41.366,-90.0,top
