Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C4, C5, C6, C7, C8, C9",0201,36,10uF,C96446
"C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72",0201,36,0.1uF,C14663
J2,tube_connector,1,Tube Connector,
J3,static_pressure_manifold,1,Brass Manifold,
J4,end_plate_connector,1,End_plate_mount,
J5,PinHeader_1x10_P2.54mm_Horizontal,1,Conn_01x10,C86750
"JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP29, JP30, JP31, JP32, JP33, JP34, JP35, JP36, JP37, JP38, JP39, JP40, JP41, JP42, JP43, JP44, JP45, JP46, JP47, JP48, JP49, JP5, JP50, JP51, JP52, JP53, JP54, JP55, JP56, JP57, JP58, JP59, JP6, JP60, JP61, JP62, JP63, JP64, JP65, JP66, JP67, JP68, JP69, JP7, JP70, JP8, JP9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,66,SolderJumper_2_Open,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R7, R8, R9",01005,66,2.2k,C25879
"U1, U14, U23, U32",TSSOP-24_4.4x7.8mm_P0.65mm,4,TCA9548APWR,C130026
"U10, U11, U12, U13, U15, U16, U17, U18, U19, U2, U20, U21, U22, U24, U25, U26, U27, U28, U29, U3, U30, U31, U33, U34, U35, U36, U4, U5, U6, U7, U8, U9",hscdrrn400md2a3,32,HSCDRRN400MD2A3,
