Designator,Mid X,Mid Y,Rotation,Layer
C1,71.973,-170.1038,0.0,top
C10,67.5386,-144.998,270.0,top
C11,50.419,-144.998,270.0,top
C12,32.5628,-145.0086,270.0,top
C13,33.7566,-122.1634,270.0,top
C14,49.8908,-122.1994,270.0,top
C15,67.5894,-122.1634,270.0,top
C16,84.8868,-122.149,270.0,top
C17,24.7702,-133.6248,270.0,top
C18,41.9914,-133.4008,270.0,top
C19,59.4412,-133.5892,270.0,top
C2,63.6016,-113.2184,90.0,top
C20,76.7334,-133.7666,270.0,top
C21,24.638,-73.9754,270.0,top
C22,42.1132,-74.0918,270.0,top
C23,60.53,-74.2294,270.0,top
C24,77.089,-74.0308,270.0,top
C25,84.455,-63.3938,270.0,top
C26,67.6148,-63.3624,270.0,top
C27,49.7078,-63.409,270.0,top
C28,32.512,-63.3074,270.0,top
C29,72.8726,-52.2372,270.0,top
C3,64.8208,-86.451,270.0,top
C30,56.7182,-52.2626,270.0,top
C31,40.9194,-52.2224,270.0,top
C32,24.9428,-52.2838,270.0,top
C33,80.5434,-41.3512,270.0,top
C34,64.7954,-41.2602,270.0,top
C35,48.5902,-41.2856,270.0,top
C36,31.9278,-41.2856,270.0,top
C37,75.8444,-156.809,270.0,top
C38,58.5724,-156.6672,270.0,top
C39,41.1226,-156.5046,270.0,top
C4,94.8944,-52.1208,270.0,top
C40,24.0792,-156.4742,270.0,top
C41,85.8774,-144.9938,270.0,top
C42,68.5546,-144.9984,270.0,top
C43,51.3588,-144.9726,270.0,top
C44,33.4772,-144.998,270.0,top
C45,32.8906,-122.17365,270.0,top
C46,50.7746,-122.1888,270.0,top
C47,68.4478,-122.1676,270.0,top
C48,85.725,-122.1638,270.0,top
C49,23.9268,-133.6396,270.0,top
C5,76.835,-156.809,270.0,top
C50,41.148,-133.4156,270.0,top
C51,58.5978,-133.604,270.0,top
C52,75.89,-133.7814,270.0,top
C53,23.749,-74.0812,270.0,top
C54,41.2706,-74.0664,270.0,top
C55,59.4868,-74.204,270.0,top
C56,76.0222,-74.0612,270.0,top
C57,85.4202,-63.3984,270.0,top
C58,68.5038,-63.373,270.0,top
C59,50.5968,-63.409,270.0,top
C6,59.3852,-156.6418,270.0,top
C60,33.4186,-63.3116,270.0,top
C61,72.0344,-52.2372,270.0,top
C62,55.9054,-52.2626,270.0,top
C63,39.9542,-52.2478,270.0,top
C64,24.0284,-52.3138,270.0,top
C65,81.6864,-41.366,270.0,top
C66,65.7098,-41.2496,270.0,top
C67,49.6316,-41.2902,270.0,top
C68,33.02,-41.3258,270.0,top
C69,70.0278,-170.0276,180.0,top
C7,42.164,-156.5042,270.0,top
C70,62.611,-113.193,90.0,top
C71,63.6016,-86.4256,270.0,top
C72,95.7326,-52.1356,270.0,top
C8,25.1714,-156.5656,270.0,top
C9,84.4804,-144.998,270.0,top
J2,45.0598,-181.5405,0.0,top
J3,57.5454,-97.3623,0.0,top
J4,59.7408,-25.5013,0.0,top
J5,84.0028,-190.2014,270.0,top
R1,82.554,-174.0154,180.0,top
R10,29.3624,-156.739,90.0,top
R11,84.2264,-139.8822,270.0,top
